,Date,Open,High,Low,Close,Adj Close,Volume,previous_closing_price,delta_closing_price,weekly_returns
0,2018-06-27,199.179993,200.75,195.800003,195.83999599999999,195.83999599999999,18734400,,,
1,2018-06-28,195.179993,197.33999599999999,193.259995,196.229996,196.229996,18172400,195.83999599999999,0.3900000000000148,
2,2018-06-29,197.320007,197.600006,193.96000700000002,194.320007,194.320007,15811600,196.229996,-1.909988999999996,
3,2018-07-02,193.369995,197.449997,192.220001,197.360001,197.360001,13961600,194.320007,3.039994000000007,
4,2018-07-03,194.550003,195.399994,192.520004,192.729996,192.729996,13489500,197.360001,-4.630005000000011,
5,2018-07-05,194.740005,198.649994,194.029999,198.449997,198.449997,19684200,192.729996,5.720000999999996,
6,2018-07-06,198.449997,203.639999,197.699997,203.229996,203.229996,19740100,198.449997,4.779999000000004,
7,2018-07-09,204.929993,205.800003,202.119995,204.740005,204.740005,18149400,203.229996,1.5100089999999966,4.346980942976929
8,2018-07-10,204.5,204.91000400000001,202.259995,203.53999299999998,203.53999299999998,13190100,204.740005,-1.2000120000000152,3.5914303092267383
9,2018-07-11,202.220001,204.5,201.75,202.53999299999998,202.53999299999998,12927400,203.53999299999998,-1.0,4.058450816674008
10,2018-07-12,203.429993,207.080002,203.190002,206.919998,206.919998,15454700,202.53999299999998,4.380005000000011,4.620141645274896
11,2018-07-13,207.809998,208.429993,206.449997,207.320007,207.320007,11486800,206.919998,0.4000090000000114,7.037435128004797
12,2018-07-16,207.5,208.720001,206.83999599999999,207.229996,207.229996,11078200,207.320007,-0.09001100000000406,4.236837894838353
13,2018-07-17,204.899994,210.460007,204.83999599999999,209.99000499999997,209.99000499999997,15349900,207.229996,2.760008999999968,3.219205123596225
14,2018-07-18,209.82000699999998,210.99000499999997,208.440002,209.360001,209.360001,15334900,209.99000499999997,-0.6300039999999569,2.206723336803965
15,2018-07-19,208.770004,209.99000499999997,207.759995,208.08999599999999,208.08999599999999,11350400,209.360001,-1.270005000000026,2.1865553786641447
16,2018-07-20,208.850006,211.5,208.5,209.940002,209.940002,16163900,208.08999599999999,1.8500060000000076,3.5248208676305586
17,2018-07-23,210.580002,211.61999500000002,208.800003,210.91000400000001,210.91000400000001,16732000,209.940002,0.9700020000000222,1.8918049994442285
18,2018-07-24,215.11000099999998,216.19999700000002,212.600006,214.669998,214.669998,28468700,210.91000400000001,3.7599939999999776,3.423855717369499
19,2018-07-25,215.72000099999997,218.61999500000002,214.270004,217.5,217.5,58954200,214.669998,2.8300020000000075,4.72184091954023
20,2018-07-26,174.889999,180.130005,173.75,176.259995,176.259995,169387800,217.5,-41.240005,-19.136509109738693
21,2018-07-27,179.869995,179.929993,173.0,173.629303,173.629303,49892207,176.259995,-2.6306920000000105,-20.578725700465444
